*** new execution ***
Arg_0,Jama.Matrix@6df97b55
nu_0,2
wantu_0,true
wantv_0,true
nct_0,1
nrt_0,0
k_0,0
nct_1,1
k_1,0
i_0,0
i_1,1
i_1,2
i_2,2
k_2,0
k_3,0
k_4,0
i_3,0
i_4,1
i_4,2
i_5,2
i_6,2
k_5,0
k_6,0
j_0,1
k_7,0
nct_2,1
k_8,0
t_0,0.0
i_7,0
t_1,2.632455532033676
i_8,1
t_1,6.427188724235731
i_8,2
t_2,6.427188724235731
i_9,2
t_3,-4.883036880224505
i_10,0
i_11,1
i_11,2
i_12,2
j_1,2
j_2,2
k_9,0
nct_3,1
nct_4,1
k_10,0
wantu_1,true
i_13,0
i_14,1
i_14,2
i_15,2
nrt_1,0
k_11,0
j_10,2
k_17,0
wantv_2,true
k_18,1
nrt_2,0
k_19,1
wantv_3,true
nct_5,1
wantu_2,true
p_0,2
nct_6,1
p_1,2
p_2,2
nrt_3,0
wantu_3,true
j_11,1
i_39,0
i_40,1
i_40,2
i_41,2
j_12,2
j_13,2
k_20,0
k_21,0
j_14,1
t_5,0.0
i_42,0
t_6,0.0
i_43,1
t_6,0.9486832980505138
i_43,2
t_7,0.9486832980505138
i_44,2
t_8,-0.7207592200561264
i_45,0
i_46,1
i_46,2
i_47,2
j_15,2
j_16,2
i_48,0
i_49,1
i_49,2
i_50,2
i_51,0
i_53,0
j_17,2
k_22,-1
j_18,2
k_23,-1
k_24,-1
wantv_4,true
k_25,1
k_26,1
nrt_4,0
k_27,1
i_63,0
i_64,1
i_64,2
i_65,2
k_28,0
k_26,0
nrt_4,0
k_27,0
i_63,0
i_64,1
i_64,2
i_65,2
k_28,-1
nrt_5,0
k_29,-1
nrt_6,0
k_30,-1
pp_0,1
iter_0,0
eps_0,2.220446049250313E-16
tiny_0,1.6033346880071782E-291
k_32,0
k_33,0
k_34,0
k_35,0
eps_1,2.220446049250313E-16
tiny_1,1.6033346880071782E-291
k_36,0
k_37,-1
k_33,-1
eps_2,2.220446049250313E-16
k_38,-1
tiny_2,1.6033346880071782E-291
p_3,2
k_39,-1
ks_1,1
k_40,-1
ks_2,1
t_13,4.427188724235731
t_14,4.427188724235731
eps_3,2.220446049250313E-16
tiny_3,1.6033346880071782E-291
ks_3,1
ks_4,0
k_40,-1
ks_2,0
t_13,4.427188724235731
t_14,4.427188724235731
eps_3,2.220446049250313E-16
tiny_3,1.6033346880071782E-291
ks_3,0
ks_4,-1
k_40,-1
ks_2,-1
ks_5,-1
eps_4,2.220446049250313E-16
k_41,-1
tiny_4,1.6033346880071782E-291
p_4,2
ks_6,-1
k_42,-1
ks_7,-1
kase_2,3
k_44,-1
kase_5,3
eps_5,2.220446049250313E-16
k_45,-1
p_5,2
tiny_5,1.6033346880071782E-291
kase_6,3
k_46,0
scale_0,4.427188724235731
sp_0,-0.14285714285714268
spm1_0,-0.7142857142857143
epm1_0,-1.0
sk_0,-0.7142857142857143
ek_0,-1.0
b_0,0.7448979591836735
c_0,0.020408163265306072
shift_0,0.0
c_1,0.020408163265306072
b_1,0.7448979591836735
shift_1,0.7584728952713523
b_2,0.7448979591836735
shift_3,0.7584728952713523
shift_4,0.01357493608767882
shift_5,0.01357493608767882
b_3,0.7448979591836735
f_7,0.5033708544550258
g_0,0.7142857142857143
j_29,0
t_23,0.8738342513013757
cs_2,0.5760484367663208
sn_2,0.8174155604703632
